master_code,product_code,owner,stock,free_stock
3P-BOO,3P-BOOK-23,BHQ,0,0
3P-CAR,3P-CARD-23,BHQ,0,0
AA0131,AA0131BK,PRE,13193,12982
AA0131,AA0131CY,PRE,10777,10777
AA0131,AA0131GN,PRE,2245,2245
AA0131,AA0131NBL,PRE,7811,7461
AA0131,AA0131PK,PRE,1129,1129
AA0131,AA0131PL,PRE,4143,4143
AA0131,AA0131RD,PRE,4306,4306
AA0131,AA0131WH,PRE,5241,4441
AA0135,AA0135WH,PRE,1414,814
AA0411,AA0411BK,PRE,3854,3854
AA0411,AA0411BL,PRE,4873,4873
AA0411,AA0411GN,PRE,4654,4654
AA0411,AA0411PL,PRE,3484,3484
AA0411,AA0411RD,PRE,3137,3137
AA0411,AA0411WH,PRE,9142,8892
AA0412,AA0412AM,PRE,3456,3456
AA0412,AA0412BL,PRE,10035,9985
AA0412,AA0412GN,PRE,5941,5791
AA0412,AA0412LBL,PRE,1646,1546
AA0412,AA0412PK,PRE,1960,1960
AA0412,AA0412PL,PRE,7915,7864
AA0412,AA0412RD,PRE,4068,4068
AA0412,AA0412TR,PRE,1100,1099
AA0412,AA0412WH,PRE,6294,5894
AA0412,AA0412YL,PRE,2574,2574
AA0416,AA0416BL,PRE,1614,964
AA0416,AA0416PL,PRE,4186,4186
AA0416,AA0416RD,PRE,5551,5551
AA0416,AA0416WH,PRE,1854,954
AA0421,AA0421BK,PRE,3727,3727
AA0461,AA0461NT,PRE,5541,5541
AA1410,AA1410BK,PRE,4749,4749
AA1412,AA1412BK,PRE,4367,4017
AF0001,AF0001,FFP,0,0
AF0001,AF0001APPL,FFP,0,0
AF0001,AF0001AQUA,FFP,0,0
AF0001,AF0001AUBE,FFP,0,0
AF0001,AF0001BKDE,FFP,0,0
AF0001,AF0001BLAC,FFP,0,0
AF0001,AF0001BLDE,FFP,0,0
AF0001,AF0001BOTT,FFP,0,0
AF0001,AF0001BROW,FFP,0,0
AF0001,AF0001BURG,FFP,0,0
AF0001,AF0001CAME,FFP,0,0
AF0001,AF0001CHAR,FFP,0,0
AF0001,AF0001CHES,FFP,0,0
AF0001,AF0001CORN,FFP,0,0
AF0001,AF0001CYAN,FFP,0,0
AF0001,AF0001DEGB,FFP,0,0
AF0001,AF0001DGRE,FFP,0,0
AF0001,AF0001EMER,FFP,0,0
AF0001,AF0001FUCH,FFP,0,0
AF0001,AF0001GYDE,FFP,0,0
AF0001,AF0001HOPK,FFP,0,0
AF0001,AF0001INDE,FFP,0,0
AF0001,AF0001KELL,FFP,0,0
AF0001,AF0001KHAK,FFP,0,0
AF0001,AF0001LATT,FFP,0,0
AF0001,AF0001LAVE,FFP,0,0
AF0001,AF0001LBLU,FFP,0,0
AF0001,AF0001LEMO,FFP,0,0
AF0001,AF0001LILA,FFP,0,0
AF0001,AF0001LIME,FFP,0,0
AF0001,AF0001MABL,FFP,0,0
AF0001,AF0001MAGE,FFP,0,0
AF0001,AF0001MBLU,FFP,0,0
AF0001,AF0001MOCH,FFP,2,0
AF0001,AF0001MOSS,FFP,0,0
AF0001,AF0001MUSH,FFP,0,0
AF0001,AF0001MUST,FFP,0,0
AF0001,AF0001NATU,FFP,0,0
AF0001,AF0001NAVY,FFP,1,1
AF0001,AF0001OAGR,FFP,0,0
AF0001,AF0001OLIV,FFP,0,0
AF0001,AF0001ORAN,FFP,0,0
AF0001,AF0001PCOC,FFP,0,0
AF0001,AF0001PINK,FFP,0,0
AF0001,AF0001PIST,FFP,0,0
AF0001,AF0001PURP,FFP,0,0
AF0001,AF0001RACR,FFP,0,0
AF0001,AF0001REDD,FFP,0,0
AF0001,AF0001RIVI,FFP,0,0
AF0001,AF0001ROSE,FFP,0,0
AF0001,AF0001ROYA,FFP,0,0
AF0001,AF0001SAGE,FFP,0,0
AF0001,AF0001SALS,FFP,0,0
AF0001,AF0001SAPP,FFP,0,0
AF0001,AF0001SILV,FFP,0,0
AF0001,AF0001STEE,FFP,0,0
AF0001,AF0001STRD,FFP,0,0
AF0001,AF0001SUNF,FFP,0,0
AF0001,AF0001TEAL,FFP,0,0
AF0001,AF0001TERR,FFP,0,0
AF0001,AF0001TURQ,FFP,0,0
AF0001,AF0001WHIT,FFP,0,0
AF0001,AF0001YELL,FFP,0,0
AF0002,AF0002,FFP,0,0
AF0002,AF0002AQUA,FFP,0,0
AF0002,AF0002BKDE,FFP,0,0
AF0002,AF0002BLAC,FFP,0,0
AF0002,AF0002BLDE,FFP,0,0
AF0002,AF0002BOTT,FFP,0,0
AF0002,AF0002BROW,FFP,0,0
AF0002,AF0002BURG,FFP,0,0
AF0002,AF0002DGRE,FFP,0,0
AF0002,AF0002EMER,FFP,0,0
AF0002,AF0002FUCH,FFP,0,0
AF0002,AF0002GYDE,FFP,0,0
AF0002,AF0002HOPK,FFP,0,0
AF0002,AF0002INDE,FFP,0,0
AF0002,AF0002KHAK,FFP,0,0
AF0002,AF0002LIME,FFP,0,0
AF0002,AF0002NATU,FFP,0,0
AF0002,AF0002NAVY,FFP,0,0
AF0002,AF0002OLIV,FFP,0,0
AF0002,AF0002ORAN,FFP,0,0
AF0002,AF0002PINK,FFP,0,0
AF0002,AF0002PURP,FFP,0,0
AF0002,AF0002REDD,FFP,0,0
AF0002,AF0002ROYA,FFP,0,0
AF0002,AF0002SAGE,FFP,0,0
AF0002,AF0002SILV,FFP,0,0
AF0002,AF0002SUNF,FFP,0,0
AF0002,AF0002TURQ,FFP,0,0
AF0002,AF0002WHIT,FFP,0,0
AF0010,AF0010,FFP,0,0
AF0010,AF00102XL3XL,FFP,2500,2500
AF0010,AF0010LXL,FFP,2500,2500
AF0010,AF0010SM,FFP,2450,2450
AF0020,AF0020,FFP,0,0
AF0124,AF0124,FFP,0,0
AF0124,AF0124BLAC,FFP,11211,10411
AF0124,AF0124NAVY,FFP,2944,2944
AF0124,AF0124REDD,FFP,2994,2994
AF1001,AF1001,FFP,0,0
AF1001,AF10012X-ROYA,FFP,12,12
AF1001,AF10013X-ROYA,FFP,3,3
AF1001,AF1001LL-ROYA,FFP,0,0
AF1001,AF1001MM-ROYA,FFP,0,0
AF1001,AF1001SS-ROYA,FFP,0,0
AF1001,AF1001XL-ROYA,FFP,0,0
AF1002,AF1002,FFP,0,0
AF1002,AF1002LX-BLAC,FFP,0,0
AF1002,AF1002LX-HNAV,FFP,0,0
AF1005,AF1005,FFP,0,0
AF1005,AF1005LX-BLAC,FFP,21,21
AF1005,AF1005SM-BLAC,FFP,6,6
AF1006,AF1006,FFP,0,0
AF1006,AF1006LX-BLAC,FFP,0,0
AF1006,AF1006SM-BLAC,FFP,0,0
AF1007,AF1007,FFP,0,0
AF1007,AF10072X-BOTT,FFP,0,0
AF1007,AF1007BLAC,FFP,0,0
AF1007,AF1007LL-BLAC,FFP,0,0
AF1007,AF1007LL-BOTT,FFP,0,0
AF1007,AF1007MM-BLAC,FFP,0,0
AF1007,AF1007MM-BOTT,FFP,0,0
AF1007,AF1007SS-BLAC,FFP,0,0
AF1007,AF1007SS-BOTT,FFP,0,0
AF1007,AF1007XL-BOTT,FFP,0,0
AF1008,AF1008,FFP,0,0
AF1008,AF1008BLAC,FFP,0,0
AF1009,AF1009,FFP,0,0
AF1009,AF10092X-REDD,FFP,0,0
AF1009,AF10092X-YELL,FFP,0,0
AF1009,AF10092XL-YELL,FFP,0,0
AF1009,AF1009LX-REDD,FFP,0,0
AF1009,AF1009LX-ROYA,FFP,0,0
AF1009,AF1009LX-YELL,FFP,0,0
AF1009,AF1009SM-REDD,FFP,0,0
AF1009,AF1009SM-ROYA,FFP,0,0
AF1009,AF1009SM-YELL,FFP,0,0
AF1009,AF1009XX-ROYA,FFP,0,0
AF1010,AF1010,FFP,0,0
AF1010,AF10102XL-YELL,FFP,0,0
AF1010,AF1010LXL-YELL,FFP,0,0
AF1010,AF1010SM-YELL,FFP,0,0
